Study_ID,Author,Year,Source,StudyID,Effect_size_ID,Latitude,Longitude,Abs_lat,Region,Region2,Country,Duration_days,Duration,Shared_first_author,Factor,Stressor,Calcifier,BiologicalResponses,TrophicLevel,Trophic_level,DependentVariable,CalculatedUnit,Species,Phyla,Class,Type,LifeStage,share_organism,Nc,Ne,Xc,Xe,Sc,Se,yi,vi,Main_effect,variance,ci,lci,uci,int_direction,int_type
1,Byrne M et al,2009,Fig 1a,"Byrne M et al, 2009",1a,-33.8888,151.1878,33.8888,Temperate,Sub-tropical,Australia,4,short,Byrne M,pH,OA,y,reproduction,herbivore,herbivore,Fertilization,% of fertilization,Heliocidaris erythrogramma,Echinodermata,Echinoidea,sea urchin,larvae,"Byrne, M et al,_2009_Heliocidaris erythrogramma",5,5,0.9562,0.9635,0.0326,0.0326,0.007605392,0.000461432,-0.031134238,0.000320263,0.015686442,-0.04682068,-0.015447796,NA,NA
1,Byrne M et al,2009,Fig 1a,"Byrne M et al, 2009",2a,-33.8888,151.1878,33.8888,Temperate,Sub-tropical,Australia,4,short,Byrne M,temp,OW,y,reproduction,herbivore,herbivore,Fertilization,% of fertilization,Heliocidaris erythrogramma,Echinodermata,Echinoidea,sea urchin,larvae,"Byrne, M et al,_2009_Heliocidaris erythrogramma",5,5,0.9562,0.9489,0.0326,0.0326,-0.007663677,0.000468531,-0.046706074,0.000321739,0.015722548,-0.062428622,-0.030983526,NA,NA
1,Byrne M et al,2009,Fig 1a,"Byrne M et al, 2009",3a,-33.8888,151.1878,33.8888,Temperate,Sub-tropical,Australia,4,short,Byrne M,pH+temp,interaction,y,reproduction,herbivore,herbivore,Fertilization,% of fertilization,Heliocidaris erythrogramma,Echinodermata,Echinoidea,sea urchin,larvae,"Byrne, M et al,_2009_Heliocidaris erythrogramma",5,5,0.9562,0.8832,0.0326,0.049,-0.079357135,0.0013131,-0.079357135,0.0013131,0.031762887,-0.111120022,-0.047594248,neg,syn
1,Byrne M et al,2009,Fig 1c,"Byrne M et al, 2009",4a,-33.8888,151.1878,33.8888,Temperate,Sub-tropical,Australia,4,short,Byrne M,pH,OA,y,development,herbivore,herbivore,Normal gastrulae,% of gastrulation,Heliocidaris erythrogramma,Echinodermata,Echinoidea,sea urchin,larvae,"Byrne, M et al,_2009_Heliocidaris erythrogramma",5,5,0.8301,0.817,0.0438,0.0584,-0.015907081,0.001578731,-0.046619365,0.002036966,0.039560608,-0.086179973,-0.007058757,NA,NA
1,Byrne M et al,2009,Fig 1c,"Byrne M et al, 2009",5a,-33.8888,151.1878,33.8888,Temperate,Sub-tropical,Australia,4,short,Byrne M,temp,OW,y,development,herbivore,herbivore,Normal gastrulae,% of gastrulation,Heliocidaris erythrogramma,Echinodermata,Echinoidea,sea urchin,larvae,"Byrne, M et al,_2009_Heliocidaris erythrogramma",5,5,0.8301,0.0327,0.0438,0.0438,-3.234171098,0.359381838,-3.738094698,0.250215849,0.438458483,-4.176553181,-3.299636215,NA,NA
1,Byrne M et al,2009,Fig 1c,"Byrne M et al, 2009",6a,-33.8888,151.1878,33.8888,Temperate,Sub-tropical,Australia,4,short,Byrne M,pH+temp,interaction,y,development,herbivore,herbivore,Normal gastrulae,% of gastrulation,Heliocidaris erythrogramma,Echinodermata,Echinoidea,sea urchin,larvae,"Byrne, M et al,_2009_Heliocidaris erythrogramma",5,5,0.8301,0.0065,0.0438,0.001,-1.59966582,0.365137473,-1.59966582,0.365137473,0.529662556,-2.129328376,-1.070003264,neg,syn
2,Byrne M et al,2011,Fig 2,"Byrne M et al, 2011",7a,-33.8888,151.1878,33.8888,Temperate,Sub-tropical,Australia,1,short,Byrne M,pH,OA,y,calcification,herbivore,herbivore,Calcification,% of calcified larvae,Haliotis coccoradiata,Mollusca,Gastropoda,abalone,embryo,"Byrne, M et al,_2011_Haliotis coccoradiata",10,10,0.5988,0.22994,0.3181,0.2424,-0.957109247,0.139351683,-1.247032774,0.133370099,0.226352507,-1.473385281,-1.020680267,NA,NA
2,Byrne M et al,2011,Fig 2,"Byrne M et al, 2011",8a,-33.8888,151.1878,33.8888,Temperate,Sub-tropical,Australia,1,short,Byrne M,temp,OW,y,calcification,herbivore,herbivore,Calcification,% of calcified larvae,Haliotis coccoradiata,Mollusca,Gastropoda,abalone,embryo,"Byrne, M et al,_2011_Haliotis coccoradiata",10,10,0.5988,0.23473,0.3181,0.3333,-0.936491735,0.229840354,-1.221468564,0.20978806,0.283887621,-1.505356185,-0.937580943,NA,NA
2,Byrne M et al,2011,Fig 2,"Byrne M et al, 2011",9a,-33.8888,151.1878,33.8888,Temperate,Sub-tropical,Australia,1,short,Byrne M,pH+temp,interaction,y,calcification,herbivore,herbivore,Calcification,% of calcified larvae,Haliotis coccoradiata,Mollusca,Gastropoda,abalone,embryo,"Byrne, M et al,_2011_Haliotis coccoradiata",10,10,0.5988,0.00958,0.3181,0.0151,-2.241649078,0.589412374,-2.241649078,0.589412374,0.475845203,-2.717494281,-1.765803875,neg,syn
2,Byrne M et al,2011,Fig 3a,"Byrne M et al, 2011",10a,-33.8888,151.1878,33.8888,Temperate,Sub-tropical,Australia,1,short,Byrne M,pH,OA,y,development,herbivore,herbivore,Calcification,% of normal juveniles,Heliocidaris erythrogramma,Echinodermata,Echinoidea,sea urchin,embryo,"Byrne, M et al,_2011_Heliocidaris erythrogramma",6,6,0.45755,0.13813,0.1797,0.074,-1.197690898,0.073541911,-0.898593187,0.049026782,0.177172837,-1.075766024,-0.72142035,NA,NA
